     13 the	hospital
      1 review	DCFS
      1 results	and
      1 response	was
      1 response	by
      1 response	I
      1 responded	to
      1 respond	satisfactorily
      1 requiring	correction
      1 requested	that
      1 requested	setting
      1 request	including
      1 reports	detailing
      1 reporter	for
      1 reported	they
      1 reported	being
      1 reported	abuse
      1 repeated	failures
      1 remains	on
      1 remains	a
      1 remaining	seven
      1 remained	there
      1 relevant	laws
      1 released	from
      1 related	to
      1 regulatory	violations
      1 regulators	That
      1 reflect	any
      1 records	obtained
      1 recommendations	on
      1 received	from
      1 receive	care
      1 re	going
      1 range	of
      1 quit	brainwashing
      1 quickly	responded
      1 quality	of
      1 public	guardian
      1 psychotropic	medication
      1 psychiatric	treatment
      1 psychiatric	hospitals
      1 psychiatric	hospital
      1 provide	a
      1 protection	of
      1 prompt	and
      1 process	and
      1 procedures	The
      1 problems	at
      1 problem	in
      1 problem	Morrison
      1 priority	DCFS
      1 practices	That
      1 practice	requiring
      1 powerful	psychotropic
      1 possible	outcomes
      1 possible	court
      1 pornography	case
      1 policy	Google
      1 policies	and
      1 point	for
      1 placing	a
      1 placement	for
      1 placed	Finding
      1 place	to
      1 piece	of
      1 pattern	or
      1 patients	health
      1 patients	and
      1 party	investigation
      1 part	of
      1 parents	sent
      1 paper	Paper
      1 outside	expert
      1 outcomes	for
      1 out	What
      1 our	view
      1 our	state
      1 our	investigation
      1 organization	wanted
      1 or	they
      1 or	practice
      1 or	nothing
      1 or	neglect
      1 or	in
      1 options	to
      1 operates	at
      1 only	to
      1 only	the
      1 one	of
      1 one	day
      1 one	comprehensive
      1 on	this
      1 on	how
      1 on	behalf
      1 on	all
      1 on	a
      1 on	Thursday
      1 on	Friday
      1 old	girls
      1 old	and
      1 officials	told
      1 officials	say
      1 officials	said
      1 offered	is
      1 offered	going
      1 off	its
      1 of	what
      1 of	use
      1 of	two
      1 of	sexual
      1 of	quality
      1 of	powerful
      1 of	our
      1 of	issues
      1 of	funding
      1 of	federal
      1 of	care
      1 of	abused
      1 of	abuse
      1 of	a
      1 of	Public
      1 of	Information
      1 of	Illinois
      1 of	Friday
      1 of	DCFS
      1 of	Children
      1 of	Aurora
      1 obtained	by
      1 numerous	allegations
      1 ns	html
      1 now	or
      1 nothing	was
      1 nothing	chicago
      1 not	what
      1 not	various
      1 not	substantiated
      1 not	seek
      1 not	only
      1 not	following
      1 not	find
      1 not	an
      1 next	week
      1 new	problem
      1 neighborhood	Google
      1 neglect	involving
      1 neglect	investigations
      1 neglect	at
      1 need	psychiatric
      1 necessary	remains
      1 narrow	piece
      1 more	holistic
      1 month	to
      1 monitors	DCFS
      1 monitoring	the
      1 missed	in
      1 medication	lax
      1 medically	necessary
      1 make	sure
      1 make	security
      1 made	a
      1 made	That
      1 m	hoping
      1 loss	of
      1 logo	The
      1 logo	Search
      1 logo	2019
      1 limited	to
      1 limit	the
      1 light	of
      1 letter	to
      1 letter	should
      1 leading	on
      1 lax	supervision
      1 laws	policies
      1 lawmakers	made
      1 lawmakers	and
      1 last	year
      1 knows	this
      1 know	what
      1 kids	to
      1 kids	that
      1 keep	getting
      1 jobs	at
      1 job	horoscopes
      1 its	results
      1 its	response
      1 its	practices
      1 its	patients
      1 its	federal
      1 it	would
      1 it	works
      1 it	s
      1 it	operates
      1 it	found
      1 issues	including
      1 issues	at
      1 issues	Charles
      1 issue	has
      1 is	unacceptable
      1 is	taking
      1 is	monitoring
      1 is	investigating
      1 is	inadequate
      1 is	deemed
      1 is	a
      1 involving	children
      1 investigations	that
      1 investigations	The
      1 investigation	that
      1 investigation	process
      1 investigation	only
      1 investigation	he
      1 investigation	and
      1 investigation	advocates
      1 investigation	It
      1 investigating	the
      1 investigated	16
      1 investigate	five
      1 investigate	North
      1 insufficient	That
      1 inspector	general
      1 inquiry	he
      1 independent	reviewer
      1 independent	review
      1 independent	he
      1 including	placing
      1 including	improper
      1 including	claims
      1 include	children
      1 inadequate	ACLU
      1 in	response
      1 in	psychiatric
      1 in	Uptown
      1 in	DCFS
      1 in	America
      1 improper	use
      1 immigrant	children
      1 immediately	stop
      1 if	the
      1 if	concerns
      1 id	GTM
      1 https	www
      1 html	id
      1 how	to
      1 hospitals	and
      1 hospital	where
      1 hospital	when
      1 hospital	to
      1 hospital	since
      1 hospital	s
      1 hospital	on
      1 hospital	officials
      1 hospital	now
      1 hospital	has
      1 hospital	emerge
      1 hospital	clouded
      1 hospital	beyond
      1 hospital	as
      1 hospital	Walker
      1 hospital	They
      1 hospital	The
      1 horoscopes	Horoscope
      1 hoping	that
      1 holistic	review
      1 hold	on
      1 highest	standards
      1 here	For
      1 here	DCFS
      1 her	urgent
      1 health	and
      1 head	coaching
      1 he	too
      1 have	reported
      1 has	until
      1 has	said
      1 has	offered
      1 has	investigated
      1 has	her
      1 has	followed
      1 has	expertise
      1 has	asked
      1 happened	to
      1 had	threatened
      1 had	requested
      1 had	been
      1 guardian	said
      1 guarantee	the
      1 googletagmanager	com
      1 go	ProPublica
      1 girls	who
      1 getting	shut
      1 general	counsel
      1 general	Meryl
      1 future	Gov
      1 funding	hospital
      1 funding	could
      1 from	parents
      1 from	anybody
      1 from	Deerfield
      1 from	7
      1 four	of
      1 found	sufficient
      1 found	numerous
      1 found	DCFS
      1 force	the
      1 for	she
      1 for	its
      1 for	discharge
      1 for	a
      1 for	Wednesday
      1 for	ProPublica
      1 for	Broncos
      1 following	ACLU
      1 followed	a
      1 followed	DCFS
      1 focusing	on
      1 five	including
      1 first	urged
      1 find	them
      1 find	it
      1 finalists	for
      1 fight	The
      1 federal	regulators
      1 federal	funding
      1 federal	court
      1 failures	to
      1 failed	to
      1 facility	For
      1 expertise	in
      1 expert	who
      1 expert	to
      1 examine	a
      1 evidence	to
      1 evaluate	systemic
      1 evaluate	not
      1 environment	for
      1 ensure	the
      1 end	of
      1 employee	The
      1 emerge	during
      1 during	the
      1 down	from
      1 done	That
      1 doing	anyway
      1 doesn	t
      1 discharged	from
      1 discharge	but
      1 director	Three
      1 direct	as
      1 develop	recommendations
      1 detailing	which
      1 demands	followed
      1 demanded	the
      1 demand	on
      1 degree	or
      1 deficiencies	or
      1 deemed	medically
      1 decree	also
      1 decision	by
      1 day	after
      1 daily	unannounced
      1 cut	off
      1 court	remains
      1 court	next
      1 court	fight
      1 court	consent
      1 count	on
      1 counsel	Heidi
      1 could	not
      1 could	force
      1 correction	for
      1 correct	deficiencies
      1 cooperate	with
      1 continuing	daily
      1 continues	to
      1 considering	additional
      1 consent	decree
      1 confident	a
      1 conduct	the
      1 concerns	about
      1 comprehensive	investigation
      1 comprehensive	independent
      1 complete	review
      1 complaints	that
      1 com	ns
      1 com	VIP
      1 com	IFRAME
      1 com	Careers
      1 columnists	Let
      1 college	degree
      1 coaching	job
      1 clouded	by
      1 close	MORE
      1 cleared	for
      1 claims	from
      1 children	seriously
      1 children	separated
      1 children	investigate
      1 children	as
      1 children	The
      1 child	sexual
      1 child	pornography
      1 child	abuse
      1 chicago	The
      1 changes	are
      1 cases	reflect
      1 cases	at
      1 case	Chicago
      1 care	there
      1 care	and
      1 camera	video
      1 came	one
      1 called	on
      1 by	someone
      1 by	sex
      1 by	reviewing
      1 by	WordPress
      1 by	ProPublica
      1 by	DCFS
      1 but	said
      1 but	remained
      1 but	keep
      1 but	anyone
      1 but	also
      1 broader	more
      1 brainwashing	kids
      1 blackhawks	Blackhawks
      1 beyond	what
      1 best	possible
      1 believe	that
      1 being	sexually
      1 behalf	of
      1 been	released
      1 been	made
      1 been	discharged
      1 been	cleared
      1 been	at
      1 because	DCFS
      1 bears	Reports
      1 be	limited
      1 be	leading
      1 be	doing
      1 be	appointed
      1 be	able
      1 badge	Home
      1 badge	Apple
      1 backing	down
      1 available	I
      1 attention	I
      1 at	Monster
      1 at	Lakeshore
      1 at	DCFS
      1 at	Chicago
      1 assure	you
      1 assess	whether
      1 assaulted	but
      1 assault	of
      1 asked	to
      1 as	well
      1 as	the
      1 as	regulatory
      1 as	prompt
      1 as	part
      1 as	of
      1 are	safe
      1 are	as
      1 appointed	to
      1 appointed	Walker
      1 anyway	Paniak
      1 anything	about
      1 anyone	who
      1 anybody	columnists
      1 any	pattern
      1 any	investigation
      1 and	would
      1 and	will
      1 and	where
      1 and	wellbeing
      1 and	therapeutic
      1 and	that
      1 and	submitting
      1 and	safety
      1 and	procedures
      1 and	direct
      1 and	continues
      1 and	considering
      1 and	child
      1 and	changes
      1 and	best
      1 and	assess
      1 and	assaulted
      1 and	assault
      1 and	adherence
      1 and	TV
      1 and	Family
      1 and	Digital
      1 and	12
      1 an	outside
      1 alternate	alternate
      1 alternate	Chicago
      1 also	to
      1 also	called
      1 allow	an
      1 alleged	child
      1 alleged	abuse
      1 allegations	were
      1 allegations	and
      1 allegations	Chicago
      1 all	relevant
      1 all	admissions
      1 agreed	to
      1 agency	was
      1 agency	to
      1 agency	said
      1 agency	is
      1 agency	failed
      1 agency	allow
      1 agency	Friday
      1 agencies	focusing
      1 after	state
      1 advocates	had
      1 admissions	of
      1 adherence	to
      1 additional	options
      1 acting	public
      1 acting	inspector
      1 accomplish	by
      1 abused	children
      1 abused	by
      1 abused	and
      1 abuse	should
      1 abuse	or
      1 abuse	allegations
      1 abuse	DCFS
      1 about	the
      1 about	systemic
      1 able	to
      1 a	vacuum
      1 a	top
      1 a	thorough
      1 a	third
      1 a	similar
      1 a	see
      1 a	safe
      1 a	review
      1 a	reporter
      1 a	range
      1 a	possible
      1 a	place
      1 a	new
      1 a	narrow
      1 a	loss
      1 a	letter
      1 a	hold
      1 a	full
      1 a	federal
      1 a	comprehensive
      1 a	complete
      1 a	college
      1 a	broader
      1 a	Rauner
      1 a	ProPublica
      1 a	North
      1 a	Democrat
      1 __________________________________________________________________	Subscribe
      1 __________________________________________________________________	Duaa
      1 __________________________________________________________________	31
      1 ____________________________________________________________	Post
      1 ____________________	CAPTION
      1 You	Subscribe
      1 Yohnka	was
      1 Yohnka	DCFS
      1 World	Sports
      1 World	Obituaries
      1 Working	the
      1 Working	Paper
      1 Working	Entertainment
      1 Working	Advertising
      1 With	Us
      1 White	Sox
      1 What	they
      1 What	happened
      1 Wednesday	Jan
      1 Watchdogs	Transportation
      1 Washington	Primary
      1 Washington	Guest
      1 Walker	quickly
      1 Walker	on
      1 Walker	last
      1 Walker	Federal
      1 View	__________________________________________________________________
      1 Video	Home
      1 Video	Death
      1 Video	Back
      1 Vic	Fangio
      1 VIP	Chicago
      1 Us	Sun
      1 Us	Subscribe
      1 Us	Search
      1 Us	Our
      1 Uptown	neighborhood
      1 Uptown	hospital
      1 Uptown	The
      1 Union	of
      1 Trending	bears
      1 Travel	Horoscopes
      1 Transportation	Video
      1 Today	s
      1 To	You
      1 Times	WordPress
      1 Times	Terms
      1 Times	Shop
      1 Times	Newsroom
      1 Thursday	They
      1 Three	Chicago
      1 Those	demands
      1 They	want
      1 They	requested
      1 They	had
      1 Theater	Music
      1 The	timeline
      1 The	sticking
      1 The	state
      1 The	reviewer
      1 The	review
      1 The	remaining
      1 The	organization
      1 The	hospital
      1 The	decision
      1 The	agency
      1 The	Watchdogs
      1 The	Hardest
      1 That	review
      1 That	is
      1 That	inquiry
      1 That	doesn
      1 Telander	Steve
      1 Telander	Letters
      1 TV	Richard
      1 Sweet	Rick
      1 Sue	Ontiveros
      1 Subscriptions	Newsletters
      1 Subscribe	Submit
      1 Subscribe	Newsletters
      1 Subscribe	My
      1 Subscribe	Manage
      1 Subscribe	Back
      1 Submit	Subscribe
      1 Submit	Print
      1 Street	View
      1 Story	Working
      1 Store	badge
      1 Steinberg	Lynn
      1 State	Sen
      1 Springfield	Washington
      1 Sports	Rick
      1 Sports	Home
      1 Sports	Cubs
      1 Sports	Back
      1 Sox	Fire
      1 Some	of
      1 So	I
      1 Sneed	Neil
      1 Simon	Laura
      1 Side	psychiatric
      1 Side	hospital
      1 Shop	Chicago
      1 She	should
      1 Services	came
      1 Sen	Julie
      1 Search	____________________
      1 School	Sports
      1 Sale	Print
      1 Sale	Digital
      1 S	E
      1 Roger	Simon
      1 Roeper	Theater
      1 Roeper	Sneed
      1 Results	Sports
      1 Reports	Bears
      1 Reblog	Post
      1 Rauner	who
      1 Rauner	spokeswoman
      1 R	Kelly
      1 Public	Health
      1 Products	Terms
      1 Products	Subscribe
      1 Privacy	policy
      1 Print	subscriber
      1 Print	and
      1 Print	Products
      1 Print	Account
      1 Primary	Results
      1 Powered	by
      1 Post	to
      1 Post	
      1 Politics	Working
      1 Politics	Home
      1 Politics	Entertainment
      1 Politics	Back
      1 Pledge	To
      1 Play	badge
      1 Photos	Newsroom
      1 Photos	About
      1 Phil	Kadner
      1 People	count
      1 Paper	in
      1 Paniak	who
      1 Paniak	said
      1 PROPUBLICA	ILLINOIS
      1 Outdoors	High
      1 Out	Wednesday
      1 Out	MORE
      1 Our	Pledge
      1 Our	Mission
      1 Opinion	Video
      1 Opinion	Home
      1 Opinion	Back
      1 Opinion	Autos
      1 Ontiveros	Roger
      1 Obituaries	Opinion
      1 Obituaries	Classifieds
      1 Notices	Obituaries
      1 Notices	Jobs
      1 Notices	Classifieds
      1 Newsletters	Today
      1 Newsletters	Paper
      1 Newsletters	News
      1 News	Sports
      1 News	Nation
      1 News	Home
      1 News	Back
      1 Neil	Steinberg
      1 Native	Ads
      1 NIE	Sun
      1 NIE	About
      1 My	Home
      1 My	Account
      1 Music	Art
      1 Movies	and
      1 Morrissey	Rick
      1 Morrissey	Richard
      1 Morrison	writing
      1 Morrison	said
      1 Morrison	a
      1 More	Back
      1 Monster	com
      1 Mitchell	Rick
      1 Mission	Powered
      1 Meryl	Paniak
      1 Mary	Mitchell
      1 Marlen	Garcia
      1 Mark	Brown
      1 Manage	Print
      1 Manage	Home
      1 Madeleine	Doubek
      1 MORE	FROM
      1 MORE	Chicago
      1 Lyons	Phil
      1 Lynn	Sweet
      1 Love	Working
      1 Love	Health
      1 Lifestyles	Opinion
      1 Lifestyles	Home
      1 Lifestyles	Back
      1 Liberties	Union
      1 Letters	to
      1 Let	s
      1 Laura	Washington
      1 Lakeshore	has
      1 Lakeshore	by
      1 Lakeshore	Yohnka
      1 LGBTQ	Lifestyles
      1 Kelly	child
      1 Kadner	Sue
      1 Julie	Morrison
      1 John	Fountain
      1 Jobs	Sun
      1 Jobs	Back
      1 Jesse	Jackson
      1 January	according
      1 Jan	9
      1 Jackson	Gene
      1 J	Walker
      1 It	was
      1 Issues	More
      1 Internships	Manage
      1 Internships	About
      1 Information	Act
      1 In	light
      1 Illinois	investigation
      1 Illinois	found
      1 Illinois	demanded
      1 Illinois	Duaa
      1 Illinois	Currently
      1 ILLINOIS	People
      1 IFRAME	https
      1 I	was
      1 I	received
      1 I	m
      1 I	assure
      1 Hospital	alleged
      1 Horoscopes	Dear
      1 Horoscope	for
      1 Homicides	Editorials
      1 Home	Travel
      1 Home	Movies
      1 Home	Homicides
      1 Home	Columnists
      1 Home	City
      1 Home	Chicago
      1 Home	Bears
      1 Home	About
      1 High	School
      1 Heidi	Dalenberg
      1 Health	which
      1 Health	LGBTQ
      1 Hardest	Working
      1 Hall	Springfield
      1 Guest	Contributors
      1 Greenberg	The
      1 Greenberg	Mary
      1 Gov	Bruce
      1 Google	Street
      1 Google	Play
      1 Golbert	Cook
      1 Gene	Lyons
      1 Garcia	Jesse
      1 Games	Food
      1 GTM	5VPTL3X
      1 Friday	continuing
      1 Friday	asking
      1 Friday	agreed
      1 Friday	That
      1 Freedom	of
      1 Fountain	Marlen
      1 For	sake
      1 Food	Home
      1 Food	Back
      1 Fire	Outdoors
      1 Finding	placement
      1 Find	jobs
      1 Federal	officials
      1 Fangio	one
      1 Family	Services
      1 FROM	PROPUBLICA
      1 Estate	Jobs
      1 Estate	Autos
      1 Entertainment	Opinion
      1 Entertainment	Home
      1 Entertainment	Columnists
      1 Entertainment	Back
      1 Eldeib	is
      1 Education	Entertainment
      1 Editorials	Education
      1 Editor	S
      1 Ed	Yohnka
      1 EDITORIAL	For
      1 E	paper
      1 E	Cupp
      1 Doubek	John
      1 Director	Beverly
      1 Digital	Subscriptions
      1 Digital	Products
      1 Democrat	from
      1 Delivery	Issues
      1 Delivery	Back
      1 Delivery	Account
      1 Delia	isn
      1 Deerfield	sent
      1 Dear	Abby
      1 Dalenberg	said
      1 Dale	Bowman
      1 DCFS	wrote
      1 DCFS	take
      1 DCFS	officials
      1 DCFS	knows
      1 DCFS	could
      1 DCFS	children
      1 DCFS	care
      1 DCFS	but
      1 DCFS	as
      1 DCFS	acting
      1 DCFS	Chicago
      1 DCFS	Acting
      1 DC	Vic
      1 Currently	Trending
      1 Cupp	Madeleine
      1 Cubs	White
      1 Crime	Home
      1 Crime	Back
      1 County	s
      1 Cook	County
      1 Contributors	Politics
      1 Comedy	Games
      1 Columnists	Lifestyles
      1 Columnists	Dale
      1 Collin	Delia
      1 College	Sports
      1 Classifieds	Submit
      1 Classifieds	Back
      1 Civil	Liberties
      1 City	Hall
      1 Children	and
      1 Chicago	lawmakers
      1 Chicago	The
      1 Chicago	Nation
      1 Chicago	11
      1 Charles	Golbert
      1 Careers	at
      1 Careers	Terms
      1 Careers	Advertise
      1 Cannabis	Crime
      1 Cancel	Reblog
      1 CAPTION	____________________________________________________________
      1 Business	Cannabis
      1 Bulls	College
      1 Bullets	Autos
      1 Bruce	Rauner
      1 Brown	Steve
      1 Broncos	head
      1 Bowman	Mark
      1 Books	Comedy
      1 Blackhawks	Collin
      1 Blackhawks	Bulls
      1 Beverly	B
      1 Bears	DC
      1 Bears	Blackhawks
      1 Back	Video
      1 Back	Sports
      1 Back	Print
      1 Back	Politics
      1 Back	Opinion
      1 Back	News
      1 Back	My
      1 Back	Lifestyles
      1 Back	Food
      1 Back	Find
      1 Back	Entertainment
      1 Back	Crime
      1 Back	Classifieds
      1 Back	Advertise
      1 B	J
      1 Autos	Business
      1 Aurora	Chicago
      1 Art	Books
      1 Apple	App
      1 App	Store
      1 American	Civil
      1 America	Our
      1 Advertising	Classifieds
      1 Advertise	with
      1 Advertise	With
      1 Ads	Subscribe
      1 Ads	Search
      1 Ads	About
      1 Acting	Director
      1 Act	but
      1 Account	Submit
      1 Account	Newsletters
      1 Account	Delivery
      1 About	Native
      1 Abby	News
      1 ACLU	which
      1 ACLU	that
      1 ACLU	spokesman
      1 ACLU	s
      1 ACLU	had
      1 ACLU	general
      1 ACLU	according
      1 ACLU	EDITORIAL
      1 7	year
      1 5VPTL3X	Wednesday
      1 35pm	DCFS
      1 31	Bullets
      1 21	__________________________________________________________________
      1 21	News
      1 2019	blackhawks
      1 2019	Chicago
      1 2018	09
      1 16	child
      1 16	allegations
      1 12	year
      1 11	02
      1 1	Subscribe
      1 1	Submit
      1 09	35pm
      1 02	2018
