     12 Nursing	Home
      1 the	five
      1 the	first
      1 the	findings
      1 the	estimated
      1 the	entire
      1 the	city
      1 the	children
      1 the	care
      1 the	bed
      1 the	authority
      1 the	agency
      1 the	United
      1 the	Sept
      1 the	Illinois
      1 the	Chicago
      1 the	American
      1 the	11
      1 that	is
      1 that	he
      1 than	two
      1 teenage	patients
      1 teenage	boy
      1 teen	patients
      1 teen	Several
      1 team	will
      1 team	at
      1 take	immediate
      1 take	DCFS
      1 t	take
      1 system	and
      1 sustained	physical
      1 surprised	the
      1 supervision	during
      1 suicidal	behaviors
      1 suggestive	comments
      1 suffered	a
      1 stuck	in
      1 stories	the
      1 stories	of
      1 stories	are
      1 still	investigating
      1 stepped	forward
      1 state	lawmakers
      1 state	care
      1 staff	who
      1 staff	member
      1 son	was
      1 some	pending
      1 some	as
      1 so	please
      1 so	dozens
      1 so	called
      1 skilled	personal
      1 situations	in
      1 simply	because
      1 similar	abuse
      1 sickening	allegations
      1 show	the
      1 should	get
      1 should	endure
      1 shared	their
      1 share	personal
      1 sexually	suggestive
      1 sexually	and
      1 sexual	manner
      1 sexual	in
      1 sexual	experiences
      1 sexual	aggression
      1 sexual	activity
      1 sex	and
      1 several	state
      1 settlements	and
      1 settlements	If
      1 sent	to
      1 sensitive	and
      1 schedule	a
      1 scenes	of
      1 says	it
      1 say	the
      1 same	worker
      1 said	the
      1 said	he
      1 said	a
      1 safe	by
      1 s	system
      1 s	report
      1 s	hotline
      1 s	Child
      1 rooms	and
      1 roommates	during
      1 roommate	asked
      1 roommate	The
      1 risk	of
      1 reviewed	with
      1 responsible	for
      1 respected	hospital
      1 residents	just
      1 represent	the
      1 represent	plaintiffs
      1 reports	in
      1 reporting	the
      1 reported	some
      1 reported	only
      1 reported	on
      1 reported	having
      1 report	went
      1 repeated	fashion
      1 relevant	to
      1 related	disruptions
      1 regulate	the
      1 recently	reported
      1 recent	ProPublica
      1 raped	and
      1 rail	according
      1 questions	levinperconti
      1 questioned	the
      1 putting	an
      1 purpose	of
      1 pulled	down
      1 publisher	next
      1 psychiatric	hospital
      1 psychiatric	facility
      1 provided	inadequate
      1 proven	to
      1 proceeds	to
      1 previous	hospital
      1 prevent	these
      1 prev	Free
      1 practice	The
      1 police	are
      1 pm	Comments
      1 please	contact
      1 plaintiffs	in
      1 place	them
      1 place	have
      1 pinning	him
      1 physically	assaulted
      1 physical	or
      1 personal	stories
      1 personal	injury
      1 personal	attack
      1 pending	investigations
      1 peers	touched
      1 patients	who
      1 patients	while
      1 patients	to
      1 patients	in
      1 patients	are
      1 patients	and
      1 patients	also
      1 patients	a
      1 patients	Federal
      1 patient	with
      1 patient	monitoring
      1 patient	especially
      1 patient	complained
      1 pants	and
      1 over	for
      1 our	skilled
      1 our	areas
      1 others	have
      1 others	feelings
      1 other	treatment
      1 other	patients
      1 other	hospital
      1 other	girls
      1 other	girl
      1 or	violent
      1 or	schedule
      1 or	emotional
      1 or	drug
      1 or	312
      1 only	to
      1 only	those
      1 ongoing	neglect
      1 one	should
      1 one	has
      1 one	day
      1 on	this
      1 on	his
      1 on	future
      1 on	LinkedIn
      1 on	Facebook
      1 older	teen
      1 old	reported
      1 old	female
      1 old	arrive
      1 officials	have
      1 officials	fixes
      1 of	young
      1 of	treatment
      1 of	touching
      1 of	this
      1 of	these
      1 of	practice
      1 of	patient
      1 of	our
      1 of	others
      1 of	medical
      1 of	losing
      1 of	children
      1 of	being
      1 of	attorneys
      1 of	abusive
      1 of	a
      1 of	Vietnam
      1 of	Sexual
      1 of	Service
      1 of	Illinois
      1 of	Children
      1 nursing	homes
      1 nowhere	else
      1 now	for
      1 noted	as
      1 not	surprised
      1 not	claim
      1 not	carry
      1 northside	of
      1 no	one
      1 next	prev
      1 neglect	situations
      1 neglect	or
      1 neglect	of
      1 neglect	many
      1 neglect	law
      1 neglect	issues
      1 neglect	and
      1 neglect	allegations
      1 nearly	three
      1 nature	at
      1 multiple	million
      1 mouth	and
      1 most	widely
      1 most	forced
      1 most	delicate
      1 more	than
      1 months	were
      1 months	two
      1 months	for
      1 monitoring	and
      1 mix	between
      1 million	dollar
      1 members	each
      1 members	dragged
      1 member	of
      1 medication	use
      1 medical	history
      1 may	be
      1 masturbating	roommates
      1 many	victims
      1 many	similar
      1 many	sexual
      1 many	groups
      1 manner	When
      1 man	touched
      1 male	staff
      1 made	sexually
      1 made	her
      1 lurking	over
      1 low	income
      1 loved	one
      1 losing	state
      1 located	in
      1 live	and
      1 limit	to
      1 like	years
      1 licensed	and
      1 levinperconti	com
      1 legal	team
      1 legal	actions
      1 least	Even
      1 laxed	staff
      1 lawsuits	settlements
      1 lawmakers	who
      1 lawmakers	became
      1 law	firms
      1 late	August
      1 last	few
      1 lack	of
      1 known	and
      1 kissed	her
      1 kids	are
      1 juvenile	detention
      1 just	this
      1 just	the
      1 jury	verdicts
      1 it	to
      1 it	proceeds
      1 it	does
      1 issues	at
      1 issues	The
      1 is	to
      1 is	threatening
      1 is	relevant
      1 is	inspected
      1 is	a
      1 is	12
      1 involved	The
      1 involve	both
      1 investigations	include
      1 investigation	into
      1 investigating	In
      1 investigated	and
      1 investigated	16
      1 into	court
      1 into	Chicago
      1 intellectual	and
      1 inspectors	have
      1 inspection	reports
      1 inspected	licensed
      1 injury	in
      1 injury	attorneys
      1 initial	ProPublica
      1 information	that
      1 information	reported
      1 independent	investigation
      1 income	children
      1 including	that
      1 include	these
      1 incidents	But
      1 incident	the
      1 inappropriately	She
      1 inappropriate	or
      1 inadequate	supervision
      1 inadequate	and
      1 in	their
      1 in	nature
      1 in	late
      1 in	just
      1 in	hospitals
      1 in	early
      1 in	all
      1 in	Nursing
      1 in	2018
      1 improper	medication
      1 immediate	hold
      1 immediate	action
      1 illinois	nursing
      1 if	the
      1 hotline	complaints
      1 hotline	Sept
      1 hospitals	Uptown
      1 hospitalized	at
      1 hospitalized	after
      1 hospitalized	DCFS
      1 hospital	which
      1 hospital	under
      1 hospital	residents
      1 hospital	had
      1 hospital	facility
      1 hospital	between
      1 horrific	to
      1 homicidal	and
      1 homes	nursing
      1 home	only
      1 home	neglect
      1 home	abuse
      1 home	An
      1 hold	on
      1 history	and
      1 his	finger
      1 his	bedroom
      1 his	bed
      1 his	arms
      1 his	arm
      1 him	to
      1 him	down
      1 her	to
      1 her	son
      1 her	roommate
      1 her	pants
      1 her	feel
      1 her	complaint
      1 her	breast
      1 her	and
      1 her	11
      1 held	over
      1 healthcare	facility
      1 health	issues
      1 health	and
      1 he	wanted
      1 he	made
      1 having	sexual
      1 have	sex
      1 have	proven
      1 have	come
      1 have	called
      1 have	bravely
      1 have	also
      1 has	sustained
      1 has	nowhere
      1 has	investigated
      1 has	finished
      1 has	become
      1 had	provided
      1 had	a
      1 habla	Español
      1 grown	from
      1 groups	and
      1 girls	in
      1 girl	who
      1 girl	said
      1 girl	had
      1 girl	complained
      1 get	away
      1 future	admissions
      1 further	Our
      1 funding	over
      1 from	laxed
      1 frequently	stuck
      1 free	consultation
      1 found	these
      1 found	the
      1 forward	to
      1 forward	and
      1 forced	and
      1 for	what
      1 for	reporting
      1 for	nearly
      1 for	more
      1 for	mental
      1 for	homicidal
      1 for	a
      1 for	DCFS
      1 follow	this
      1 fixes	to
      1 five	days
      1 first	place
      1 firms	in
      1 firm	does
      1 finished	simply
      1 finger	in
      1 finger	At
      1 findings	involve
      1 findings	These
      1 find	themselves
      1 file	a
      1 few	months
      1 females	accused
      1 female	roommate
      1 feels	like
      1 feelings	No
      1 feel	uncomfortable
      1 federal	inspectors
      1 federal	health
      1 federal	funding
      1 fashion	State
      1 failed	documentation
      1 fail	the
      1 facility	they
      1 facility	s
      1 facility	located
      1 facility	for
      1 facility	each
      1 facility	abuse
      1 facial	cuts
      1 exposed	to
      1 exploitation	69
      1 experiences	at
      1 estimated	5
      1 estimated	300
      1 especially	a
      1 entitled	to
      1 entire	legal
      1 ensure	kids
      1 endure	this
      1 empty	rooms
      1 employs	about
      1 emotional	injury
      1 else	to
      1 early	September
      1 drug	and
      1 dragged	him
      1 dozens	of
      1 down	on
      1 down	her
      1 dollar	verdicts
      1 doesn	t
      1 documents	A
      1 documentation	of
      1 docked	the
      1 disruptions	grown
      1 dialing	877
      1 determined	her
      1 detention	center
      1 deliver	news
      1 delicate	appreciation
      1 days	he
      1 day	further
      1 cuts	and
      1 current	patients
      1 cringing	over
      1 credible	A
      1 created	scenes
      1 court	if
      1 counselor	the
      1 continue	to
      1 continue	one
      1 contact	us
      1 consultation	or
      1 conduct	an
      1 complaints	in
      1 complained	the
      1 complained	her
      1 complained	about
      1 compensation	There
      1 comments	including
      1 come	forward
      1 com	Home
      1 closed	Previous
      1 claims	of
      1 claims	credible
      1 claim	to
      1 city	The
      1 children	with
      1 children	some
      1 children	have
      1 children	and
      1 child	welfare
      1 child	should
      1 child	patients
      1 child	and
      1 certified	by
      1 centers	Levin
      1 center	DCFS
      1 cases	Levin
      1 case	in
      1 carry	the
      1 care	to
      1 care	and
      1 called	treatment
      1 called	the
      1 called	for
      1 call	with
      1 by	state
      1 by	staff
      1 by	putting
      1 by	peers
      1 by	dialing
      1 by	an
      1 bruising	after
      1 breast	in
      1 break	his
      1 bravely	stepped
      1 boy	suffered
      1 boy	said
      1 boy	pulled
      1 boy	called
      1 both	claims
      1 bloody	mouth
      1 blog	represent
      1 blog	is
      1 beyond	sensitive
      1 between	staff
      1 between	children
      1 between	adults
      1 being	raped
      1 behaviors	The
      1 been	physically
      1 been	lurking
      1 been	cringing
      1 been	at
      1 bedroom	and
      1 bed	with
      1 bed	rail
      1 become	one
      1 became	involved
      1 be	treated
      1 be	inadequate
      1 be	her
      1 be	entitled
      1 battered	by
      1 away	with
      1 authority	to
      1 attorneys	throughout
      1 attorneys	by
      1 attack	stories
      1 at	risk
      1 at	a
      1 at	Psychiatric
      1 at	Levin
      1 assaulted	Many
      1 asked	her
      1 as	young
      1 as	several
      1 as	it
      1 as	ProPublica
      1 as	Levin
      1 as	3
      1 arrive	at
      1 arms	held
      1 arm	while
      1 areas	of
      1 are	treated
      1 are	still
      1 are	safe
      1 are	low
      1 are	horrific
      1 are	closed
      1 are	beyond
      1 appreciation	of
      1 applaud	these
      1 and	youth
      1 and	was
      1 and	unnecessarily
      1 and	treatment
      1 and	transfer
      1 and	threatened
      1 and	teenage
      1 and	teen
      1 and	suicidal
      1 and	shared
      1 and	sexual
      1 and	settlements
      1 and	reviewed
      1 and	respected
      1 and	related
      1 and	patients
      1 and	other
      1 and	no
      1 and	mental
      1 and	many
      1 and	lawmakers
      1 and	jury
      1 and	inappropriate
      1 and	improper
      1 and	hospitalized
      1 and	healthcare
      1 and	found
      1 and	failed
      1 and	facial
      1 and	exposed
      1 and	exploitation
      1 and	continue
      1 and	child
      1 and	certified
      1 and	bruising
      1 and	at
      1 and	alcohol
      1 and	access
      1 and	abuse
      1 and	Sexual
      1 and	Resident
      1 and	Perconti
      1 and	Chicago
      1 and	Adolescent
      1 an	older
      1 an	independent
      1 an	immediate
      1 an	estimated
      1 an	already
      1 an	8
      1 alternate	publisher
      1 alternate	alternate
      1 altercations	between
      1 also	docked
      1 also	complained
      1 already	traumatic
      1 allowing	it
      1 alleging	her
      1 allegations	of
      1 allegations	health
      1 allegations	are
      1 allegations	A
      1 all	of
      1 alcohol	addictions
      1 aggression	had
      1 agency	doesn
      1 agency	determined
      1 after	two
      1 after	so
      1 after	he
      1 adults	and
      1 admissions	to
      1 addictions	Since
      1 activity	most
      1 actions	of
      1 action	to
      1 achieving	multiple
      1 accused	a
      1 according	to
      1 access	to
      1 abusive	sexual
      1 abuse	nursing
      1 abuse	in
      1 abuse	Published
      1 about	the
      1 about	400
      1 a	time
      1 a	sexual
      1 a	repeated
      1 a	private
      1 a	previous
      1 a	mix
      1 a	male
      1 a	loved
      1 a	hospital
      1 a	history
      1 a	free
      1 a	finger
      1 a	counselor
      1 a	child
      1 a	case
      1 a	call
      1 a	bloody
      1 a	Home
      1 a	17
      1 a	15
      1 a	12
      1 ____________________________________________________________	Submit
      1 ____________________	____________________________________________________________
      1 ____________________	Submit
      1 Win	7
      1 Who	Suffers
      1 When	questioned
      1 Website	Map
      1 Website	Disclaimer
      1 Website	Attorneys
      1 We	Handle
      1 View	More
      1 Vietnam	Vet
      1 Vet	Win
      1 Us	Website
      1 Us	Se
      1 Uptown	Chicago
      1 Updated	November
      1 United	States
      1 Union	of
      1 Twitter	LinkedIn
      1 Tweet	this
      1 Truck	Accident
      1 Tribune	recently
      1 Topics	Search
      1 Topics	Illinois
      1 Toll	Free
      1 To	Call
      1 These	stories
      1 There	is
      1 The	purpose
      1 The	other
      1 The	news
      1 The	mother
      1 The	initial
      1 The	child
      1 The	allegations
      1 The	ACLU
      1 Testimonials	Resources
      1 Terms	of
      1 Tap	Here
      1 Tagged	illinois
      1 Swarm	Chicago
      1 Suffers	Most
      1 Successful	Cases
      1 Submit	Submit
      1 Submit	Search
      1 Submit	Facebook
      1 States	Our
      1 State	and
      1 Staff	141
      1 Since	ProPublica
      1 She	said
      1 Share	Tweet
      1 Several	other
      1 Services	DCFS
      1 Service	Contact
      1 September	The
      1 Sept	9
      1 Sept	10
      1 Search	____________________
      1 Search	Disclaimer
      1 Se	habla
      1 Salle	Dr
      1 Respected	Hospital
      1 Resources	Español
      1 Residents	and
      1 Resident	Advocates
      1 Reports	of
      1 Reports	73
      1 Recent	Entries
      1 Psychiatric	Hospitals
      1 Psychiatric	Hospital
      1 Program	The
      1 ProPublica	s
      1 ProPublica	for
      1 ProPublica	findings
      1 ProPublica	Illinois
      1 Privacy	Policy
      1 Previous	Home
      1 Posts	Copyright
      1 Posted	in
      1 Post	Share
      1 Policy	Terms
      1 Phone	312
      1 Perconti	cases
      1 Perconti	applaud
      1 Perconti	Share
      1 Perconti	Posted
      1 Perconti	Navigation
      1 Perconti	JUSTIA
      1 Perconti	Helps
      1 Perconti	Blogs
      1 Patients	at
      1 Patients	Although
      1 Out	After
      1 Our	team
      1 Our	firm
      1 Ombudsmen	and
      1 November	4
      1 Not	Have
      1 No	patient
      1 Next	Free
      1 Negligence	and
      1 Negligence	90
      1 Neglect	Involving
      1 Neglect	Attorneys
      1 Neglect	Allegations
      1 Navigation	Home
      1 National	Nursing
      1 N	La
      1 Most	of
      1 Most	At
      1 More	Topics
      1 Million	Jury
      1 Members	168
      1 May	Not
      1 Map	Blog
      1 Malpractice	Blog
      1 Malpractice	155
      1 LinkedIn	abuse
      1 LinkedIn	Justia
      1 Liberties	Union
      1 Levin	and
      1 Law	Firm
      1 Law	Attorneys
      1 Lakeshore	has
      1 Lakeshore	employs
      1 Lakeshore	and
      1 Lakeshore	Hospital
      1 La	Salle
      1 Justia	Feed
      1 Jury	Award
      1 JUSTIA	Law
      1 Issues	83
      1 Involving	Child
      1 Information	325
      1 In	April
      1 Illinois	so
      1 Illinois	investigation
      1 Illinois	achieving
      1 Illinois	Truck
      1 Illinois	Medical
      1 Illinois	Injury
      1 Illinois	Department
      1 Illinois	ACLU
      1 If	a
      1 IL	60654
      1 Hot	Button
      1 Hospitals	May
      1 Hospital	by
      1 Hospital	a
      1 Hospital	Called
      1 Hospital	Abuse
      1 Homes	Tagged
      1 Homes	Illinois
      1 Homes	Abuse
      1 Homes	675
      1 Homes	1619
      1 Home	Staff
      1 Home	Next
      1 Home	December
      1 Home	Chicago
      1 Here	To
      1 Helps	Family
      1 Health	Program
      1 Have	a
      1 Handle	Successful
      1 Government	Reports
      1 Glenshire	Nursing
      1 Free	877
      1 Firm	Blog
      1 Financial	abuse
      1 Feed	alternate
      1 Feed	Topics
      1 Feed	Illinois
      1 Federal	inspection
      1 Fax	312
      1 Family	of
      1 Family	Services
      1 Family	Members
      1 Facebook	Twitter
      1 Facebook	Share
      1 Even	so
      1 Español	____________________
      1 Español	Contact
      1 Entries	Levin
      1 Email	questions
      1 Elder	Law
      1 Dr	450
      1 Disclaimer	The
      1 Disclaimer	Privacy
      1 Design	
      1 Department	of
      1 December	19
      1 December	18
      1 DCFS	to
      1 DCFS	says
      1 DCFS	investigated
      1 DCFS	into
      1 DCFS	found
      1 DCFS	child
      1 DCFS	and
      1 Copyright	2016
      1 Contact	Information
      1 Consultation	Contact
      1 Consultation	877
      1 Comments	are
      1 Comments	Feed
      1 Civil	Liberties
      1 Children	and
      1 Child	and
      1 Chicago	police
      1 Chicago	Tribune
      1 Chicago	Psychiatric
      1 Chicago	Levin
      1 Chicago	IL
      1 Chicago	Hospital
      1 Chicago	Car
      1 Chicago	Brain
      1 Chicago	Birth
      1 Cases	We
      1 Cases	Testimonials
      1 Car	Accident
      1 Called	Out
      1 Call	Us
      1 Button	Issues
      1 But	because
      1 Brain	Injury
      1 Blogs	Chicago
      1 Blog	by
      1 Blog	Recent
      1 Blog	Published
      1 Blog	Posts
      1 Blog	Feed
      1 Blog	Design
      1 Blog	Comments
      1 Birth	Injury
      1 Behavioral	Health
      1 Award	December
      1 August	DCFS
      1 Attorneys	in
      1 Attorneys	Cases
      1 Attorneys	105
      1 At	the
      1 At	Glenshire
      1 As	the
      1 April	complaint
      1 April	a
      1 An	April
      1 American	Civil
      1 Although	not
      1 Allegations	Swarm
      1 After	Reports
      1 Advocates	102
      1 Adolescent	Behavioral
      1 Abuse	in
      1 Abuse	Chicago
      1 Abuse	63
      1 ACLU	is
      1 ACLU	as
      1 A	7
      1 A	12
      1 A	10
      1 90	Hot
      1 9	alleging
      1 83	Government
      1 8	year
      1 8	10
      1 73	Financial
      1 7	year
      1 7	Million
      1 69	Nursing
      1 675	Residents
      1 63	View
      1 60654	Phone
      1 5	000
      1 450	Chicago
      1 400	staff
      1 4	2018
      1 332	3112
      1 325	N
      1 3112	Email
      1 300	DCFS
      1 3	years
      1 2872	by
      1 2872	Toll
      1 2018	show
      1 2018	claims
      1 2018	Who
      1 2018	Updated
      1 2018	Sexual
      1 2018	Levin
      1 2018	Contact
      1 2018	8
      1 2016	2018
      1 19	2018
      1 18	2018
      1 17	year
      1 168	Medical
      1 1619	National
      1 16	allegations
      1 155	Nursing
      1 15	year
      1 1417	or
      1 1417	Tap
      1 1417	Fax
      1 141	Elder
      1 12	told
      1 105	Ombudsmen
      1 102	Nursing
      1 10	year
      1 10	pm
      1 10	incident
      1 000	patients
