     10 vous	plaît
      1 vue	vos
      1 vous	voulez
      1 vous	prions
      1 vous	lisent
      1 vous	invitons
      1 vous	connecter
      1 vous	avez
      1 vous	avec
      1 voulez	nous
      1 voulez	communiquer
      1 votre	point
      1 votre	nom
      1 votre	contribution
      1 votre	commentaire
      1 votre	choix
      1 vos	informations
      1 vos	commentaires
      1 vos	arguments
      1 voiture	a
      1 violée	à
      1 violé	et
      1 viols	parfois
      1 viols	massifs
      1 viols	et
      1 viols	collectifs
      1 violents	a
      1 violence	ou
      1 viol	d
      1 viol	collectif
      1 ville	du
      1 vie	et
      1 victimes	ont
      1 victimes	de
      1 victimes	d
      1 victimes	a
      1 victimes	L
      1 via	Facebook
      1 ver	luisant
      1 vaste	affaire
      1 valide	Sept
      1 va	changer
      1 utiliser	votre
      1 utilisateur	selon
      1 une	épuration
      1 une	voiture
      1 une	vaste
      1 une	trentaine
      1 une	lionne
      1 une	jeune
      1 une	forêt
      1 une	fois
      1 une	des
      1 un	ton
      1 un	septième
      1 un	scandale
      1 un	renseignement
      1 un	rapport
      1 un	nouveau
      1 un	nom
      1 un	même
      1 un	millier
      1 un	milliardaire
      1 un	homme
      1 un	groupe
      1 téléphoniques	ne
      1 trouvés	et
      1 tribunal	de
      1 trentaine	d
      1 transmitting	your
      1 tous	été
      1 touristes	fuient
      1 total	plus
      1 ton	respectueux
      1 tombée	enceinte
      1 to	facebook
      1 tester	cet
      1 terroristes	du
      1 tente	d
      1 tempête	Pabuk
      1 tabassé	lundi
      1 tabassé	Mon
      1 survenus	entre
      1 surtout	pour
      1 sur	une
      1 sur	WhatsApp
      1 sur	Google
      1 supprimer	un
      1 sujet	des
      1 suivantes	à
      1 suite	d
      1 story_url	2Fmonde
      1 story_id	27328453
      1 spas	privatisables
      1 sous	la
      1 soumises	à
      1 souligné	qu
      1 sont	pas
      1 sont	les
      1 sont	jugés
      1 sommes	heureux
      1 sociaux	à
      1 si	elle
      1 si	affinités
      1 sexuellement	des
      1 sexuelle	de
      1 services	sociaux
      1 seront	pas
      1 seront	bannies
      1 sera	prononcée
      1 septième	d
      1 semaines	la
      1 selon	votre
      1 secoue	l
      1 se	plier
      1 se	montrera
      1 scandale	qui
      1 sauvagement	tabassé
      1 s	il
      1 s	en
      1 s	applique
      1 révélé	l
      1 réduire	les
      1 rédaction	se
      1 rédaction	n
      1 rédaction	Commentaire
      1 réclament	9
      1 réaliser	qu
      1 règles	suivantes
      1 rien	et
      1 restants	___
      1 responsable	déposée
      1 responsable	des
      1 respectueux	et
      1 repéré	une
      1 replyText_red	Merci
      1 renseignement	ou
      1 rendues	par
      1 rendu	en
      1 remords	afp
      1 relation	Une
      1 relation	Migrants
      1 refusons	les
      1 refuse	de
      1 refusait	de
      1 reconnue	coupable
      1 recommendation_widget	index
      1 recherche	peuvent
      1 recherche	_
      1 ravisseurs	ont
      1 rapport	rendu
      1 ralentit	3
      1 racistes	ou
      1 racistes	hors
      1 qui	s
      1 qui	l
      1 qui	avaient
      1 qui	aurait
      1 qui	a
      1 quelques	semaines
      1 que	vous
      1 que	votre
      1 que	les
      1 que	de
      1 qualifiés	de
      1 qu	un
      1 qu	ils
      1 qu	il
      1 qu	elles
      1 qu	aucun
      1 pédophilie	secoue
      1 pudeur	Ils
      1 publiés	non
      1 publizieren	ajaxLoader
      1 publique	avait
      1 publique	Ces
      1 publier	des
      1 prévu	le
      1 prédateurs	et
      1 prudent	Plus
      1 provisoire	avant
      1 propos	hors
      1 propos	diffamatoires
      1 prononcée	le
      1 procureure	Michelle
      1 procureure	Elles
      1 problem	while
      1 prix	MoneyPark
      1 privatisables	à
      1 prions	d
      1 prenaient	à
      1 premières	poursuites
      1 premiers	contrôles
      1 pouvez	vous
      1 poursuivre	Nous
      1 poursuites	majeures
      1 pour	votre
      1 pour	les
      1 pour	le
      1 pour	l
      1 possible	Please
      1 portant	sur
      1 police	et
      1 point	de
      1 png	in
      1 png	S
      1 png	2
      1 plusieurs	hommes
      1 plus	âgés
      1 plus	si
      1 plus	prudent
      1 plus	partagés
      1 plus	authentique
      1 plus	Plus
      1 plier	à
      1 plaît	indiquez
      1 plaît	Submit
      1 plans	Femina
      1 plans	Comparis
      1 placés	en
      1 pixel	gif
      1 peuvent	être
      1 peuvent	rien
      1 petite	ville
      1 personnes	vous
      1 penser	que
      1 pensaient	qu
      1 peine	sera
      1 peine	prévu
      1 passe	oublié
      1 pas	publiés
      1 pas	publier
      1 pas	fournis
      1 partie	d
      1 partie	6
      1 partenaires	Emplois
      1 partagés	Monde
      1 parfois	collectifs
      1 parents	l
      1 par	plusieurs
      1 par	nos
      1 par	le
      1 par	des
      1 paper	Le
      1 où	des
      1 oublié	S
      1 ou	xénophobes
      1 ou	vous
      1 ou	dialecte
      1 ou	créer
      1 ou	ceux
      1 ou	avec
      1 ou	autres
      1 originaires	du
      1 ordres	Ses
      1 opinion	publique
      1 ont	tous
      1 ont	menacée
      1 ont	ensuite
      1 ont	enlevé
      1 offres	Mon
      1 nxp	Créé
      1 novembre	nouvelle
      1 novembre	Une
      1 novembre	Un
      1 novembre	Robin
      1 novembre	2015
      1 nouvelle	inculpation
      1 nouveau	commentaire
      1 nous	donner
      1 noter	que
      1 noter	les
      1 not	implemented
      1 nos	dessinateurs
      1 non	plus
      1 noms	manifestement
      1 noms	de
      1 nombreuses	personnes
      1 nom	valide
      1 nom	complet
      1 nocache	1547033238
      1 ni	responsable
      1 ni	en
      1 news	Monde
      1 neige	Les
      1 ne	sont
      1 ne	seront
      1 ne	peuvent
      1 ne	pas
      1 même	gang
      1 médias	Contacts
      1 montrera	plus
      1 mise	à
      1 mineures	dans
      1 millions	d
      1 millier	d
      1 milliardaire	enlevée
      1 mettre	fin
      1 messages	haineux
      1 menaient	la
      1 menacée	de
      1 menaces	incitations
      1 membres	d
      1 maturité	de
      1 massifs	de
      1 manipulées	et
      1 manifestement	fausses
      1 malfaiteurs	a
      1 majeures	engagées
      1 mais	surtout
      1 mail	valide
      1 lutte	contre
      1 lundi	d
      1 lundi	Il
      1 luisant	est
      1 lu	et
      1 lors	des
      1 logo	youtube
      1 lisent	La
      1 lire	et
      1 lionne	d
      1 lieu	géographique
      1 leurs	ordres
      1 leur	peine
      1 les	éditeurs
      1 les	touristes
      1 les	règles
      1 les	propos
      1 les	premières
      1 les	messages
      1 les	menaces
      1 les	décisions
      1 les	commentaires
      1 les	années
      1 les	a
      1 lecteurs	Sites
      1 lecteurs	S
      1 lecteur	Services
      1 le	viol
      1 le	tribunal
      1 le	mot
      1 le	lieu
      1 le	crime
      1 le	cadre
      1 le	9
      1 langues	étrangères
      1 lancée	après
      1 la	violence
      1 la	suite
      1 la	rédaction
      1 la	pudeur
      1 la	police
      1 la	neige
      1 la	maturité
      1 la	grande
      1 la	frontière
      1 la	femme
      1 la	discussion
      1 la	correspondance
      1 la	San
      1 la	National
      1 la	NCA
      1 l	énoncé
      1 l	échec
      1 l	y
      1 l	opinion
      1 l	index
      1 l	extrême
      1 l	erreur
      1 l	avance
      1 l	année
      1 l	animal
      1 l	ampleur
      1 l	agence
      1 l	Espagne
      1 l	AfD
      1 k_19	png
      1 justice	rendues
      1 jugés	pour
      1 jour	12
      1 jeunes	filles
      1 jeune	femme
      1 janvier	Image
      1 janvier	2019
      1 j	accepte
      1 invitons	ici
      1 inséminer	une
      1 inscrire	Fermer
      1 injures	Merci
      1 informations	vos
      1 indiquez	le
      1 indigne	l
      1 index	html
      1 index	des
      1 inculpation	Attentats
      1 incitations	à
      1 in	gif
      1 implemented	_______
      1 ils	menaient
      1 il	y
      1 il	se
      1 identités	seront
      1 identifiées	Plus
      1 ici	à
      1 hui	d
      1 html	story_id
      1 hors	sujet
      1 hors	de
      1 hommes	sont
      1 hommes	qui
      1 hommes	originaires
      1 hommes	ont
      1 hommes	membres
      1 hommes	dans
      1 hommes	asiatiques
      1 homme	qui
      1 homme	fortuné
      1 hiver	et
      1 heureux	que
      1 haineux	diffamatoires
      1 géographique	____________________
      1 général	mais
      1 groupe	appelé
      1 grande	vie
      1 gif	pixel
      1 gif	nocache
      1 gif	Veuilliez
      1 gauche	et
      1 garder	un
      1 gang	était
      1 gang	ont
      1 fêtes	de
      1 fuient	2
      1 frontière	entre
      1 fournis	L
      1 fourni	des
      1 forêt	qui
      1 fortuné	en
      1 forcée	à
      1 fois	émis
      1 fin	décembre
      1 fin	Le
      1 femme	de
      1 femme	d
      1 fausses	ne
      1 fausses	identités
      1 fascinées	par
      1 fantaisie	ou
      1 faits	survenus
      1 faisaient	partie
      1 factuelle	_
      1 facebookAnmelden_fr	png
      1 facebook	possible
      1 extrême	gauche
      1 exprimé	de
      1 exploitées	Six
      1 exploité	sexuellement
      1 exploitation	sexuelle
      1 expliqué	être
      1 euros	en
      1 et	violents
      1 et	victimes
      1 et	un
      1 et	souligné
      1 et	que
      1 et	plus
      1 et	l
      1 et	j
      1 et	exploitées
      1 et	exploité
      1 et	est
      1 et	droguées
      1 et	des
      1 et	dans
      1 et	autres
      1 et	aucune
      1 et	affirme
      1 et	accepter
      1 et	Déclaration
      1 et	Autriche
      1 et	2013
      1 est	plus
      1 est	ni
      1 est	l
      1 est	de
      1 erreur	____________________________________________________________
      1 erreur	Vous
      1 erreur	Orthographe
      1 envoyé	replyText_red
      1 entrez	une
      1 entre	Allemagne
      1 entre	1997
      1 ensuite	forcée
      1 enquêtes	de
      1 enquête	publique
      1 enquête	de
      1 enquête	avait
      1 enlevée	Criminalité
      1 enlevé	il
      1 engagées	dans
      1 enfants	auraient
      1 enceinte	après
      1 en	relation
      1 en	prenaient
      1 en	langues
      1 en	général
      1 en	détention
      1 en	dehors
      1 en	cryptomonnaie
      1 en	Norvège
      1 en	Grande
      1 en	Belgique
      1 en	2014
      1 email	____________________
      1 elles	étaient
      1 elle	refusait
      1 détention	provisoire
      1 déposée	ni
      1 démographique	ralentit
      1 dégradants	et
      1 déclaré	la
      1 décembre	Plus
      1 du	Yorkshire
      1 du	Sud
      1 du	Pakistan
      1 droit	également
      1 droit	de
      1 droguées	et
      1 donner	votre
      1 donner	vos
      1 dom	ain
      1 divers	Images
      1 dit	la
      1 discussion	est
      1 dialecte	Commentaires
      1 devez	lire
      1 dessinateurs	partie
      1 des	victimes
      1 des	services
      1 des	moteurs
      1 des	fêtes
      1 des	faits
      1 des	enquêtes
      1 des	centaines
      1 des	armes
      1 des	actes
      1 dernières	news
      1 depuis	les
      1 dehors	de
      1 de	vue
      1 de	supprimer
      1 de	se
      1 de	réaliser
      1 de	remords
      1 de	pédophilie
      1 de	prédateurs
      1 de	propos
      1 de	prix
      1 de	poursuivre
      1 de	penser
      1 de	nombreuses
      1 de	ne
      1 de	mineures
      1 de	malfaiteurs
      1 de	lutte
      1 de	leur
      1 de	justice
      1 de	garder
      1 de	fantaisie
      1 de	confidentialité
      1 de	commentaires
      1 de	centaines
      1 de	blâmer
      1 de	Sheffield
      1 de	18
      1 dans	une
      1 dans	le
      1 dans	l
      1 dans	cette
      1 dans	certains
      1 d	utiliser
      1 d	inséminer
      1 d	hommes
      1 d	exploitation
      1 d	euros
      1 d	enfants
      1 d	avoir
      1 d	attentats
      1 d	années
      1 d	agressions
      1 d	Asie
      1 créer	un
      1 cryptomonnaie	Plus
      1 croquée	par
      1 croissance	démographique
      1 crime	NCA
      1 coupables	lundi
      1 coupables	de
      1 coupable	de
      1 correspondance	Renseignements
      1 contrôles	à
      1 contribution	____________________
      1 contre	le
      1 connection	to
      1 connecter	via
      1 confidentialité	Archives
      1 compte	utilisateur
      1 compte	Mot
      1 compte	Annonces
      1 composé	d
      1 comportement	va
      1 complet	la
      1 communiquer	un
      1 commentaires	ou
      1 commentaires	des
      1 commentaires	avant
      1 commentaires	S
      1 commentaires	Connecté
      1 commentaires	Ceci
      1 commentaire	une
      1 commentaire	aussi
      1 commentaire	Nous
      1 commentaire	Caractères
      1 comment	Please
      1 collectifs	depuis
      1 collectifs	L
      1 collectif	indigne
      1 clients	Newsletters
      1 ciblées	et
      1 cht	Attentat
      1 choix	Les
      1 chef	de
      1 changer	Allemagne
      1 ceux	en
      1 cette	petite
      1 cet	hiver
      1 certains	cas
      1 cas	soumises
      1 cadre	de
      1 britannique	de
      1 blâmer	l
      1 bien	être
      1 bannies	Nous
      1 bande	de
      1 avorter	Relations
      1 avoir	été
      1 avoir	violé
      1 avez	repéré
      1 avec	une
      1 avec	des
      1 avant	l
      1 avant	de
      1 avance	La
      1 avait	été
      1 avait	révélé
      1 avait	la
      1 avait	exprimé
      1 avaient	une
      1 aux	terroristes
      1 autres	moteurs
      1 autres	injures
      1 autre	a
      1 authentique	ainsi
      1 aussi	sur
      1 aurait	fourni
      1 auraient	été
      1 aujourd	hui
      1 auf	Facebook
      1 aucune	n
      1 aucun	n
      1 attentats	à
      1 attendre	s
      1 asiatiques	plus
      1 articles	Cercle
      1 arrive	les
      1 armes	aux
      1 arguments	Nous
      1 après	qu
      1 après	avoir
      1 applique	en
      1 appelé	La
      1 ans	par
      1 ans	lors
      1 années	qui
      1 années	1980
      1 année	2019
      1 annonces	Immo
      1 annonces	Données
      1 annonce	une
      1 animal	de
      1 ampleur	des
      1 alcoolisées	et
      1 ajaxLoader	gif
      1 ainsi	Vous
      1 ain	24heures
      1 ai	lu
      1 agressions	et
      1 agence	britannique
      1 again	There
      1 again	Fermer
      1 afp	nxp
      1 affirme	qu
      1 affinités	Les
      1 affaire	de
      1 affaire	d
      1 ados	Grande
      1 ados	2Fstory
      1 adolescentes	à
      1 adolescentes	ont
      1 adolescentes	en
      1 adolescentes	ciblées
      1 administrative	4
      1 actualité	croquée
      1 actes	dégradants
      1 accepter	la
      1 accepte	la
      1 abusées	un
      1 abandonner	si
      1 a	ému
      1 a	quelques
      1 a	qualifiés
      1 a	problem
      1 a	expliqué
      1 a	déclaré
      1 a	dit
      1 __________________________________________________________________	Vaud
      1 ____________________________________________________________	BUTTON
      1 ____________________	SMS
      1 ____________________	Description
      1 ____________________	Confirmer
      1 _______	Veuillez
      1 ___	_
      1 _	auf
      1 _	Votre
      1 _	Technique
      1 _	Ponctuation
      1 _	J
      1 _	Grammaire
      1 _	Erreur
      1 Yorkshire	du
      1 WhatsApp	Plus
      1 Vous	voulez
      1 Vous	pouvez
      1 Vous	devez
      1 Videos	Info
      1 Veuilliez	attendre
      1 Veuillez	SVP
      1 VQH	logo
      1 Une	autre
      1 Une	affaire
      1 Un	zoo
      1 Un	viol
      1 Un	homme
      1 Un	gang
      1 Tweet	Signaler
      1 Tweet	Publier
      1 There	was
      1 Telford	au
      1 Technique	_
      1 Surprise	La
      1 Sud	Au
      1 Submit	Mercredi
      1 Stovewood	une
      1 Stovewood	les
      1 Sorties	Cinéma
      1 Six	hommes
      1 Sites	partenaires
      1 Signaler	une
      1 Sheffield	sont
      1 Ses	parents
      1 Services	E
      1 Service	clients
      1 Sept	hommes
      1 Scandale	Jusqu
      1 San	Fermin
      1 SVP	entrez
      1 S	inscrire
      1 S	Identifier
      1 Réflexions	Le
      1 Rédaction	Impressum
      1 Rotherham	au
      1 Robin	Pearson
      1 Renseignements	téléphoniques
      1 Relations	sexuelles
      1 RSS	Newsletter
      1 RSS	2
      1 Publier	un
      1 Publicité	
      1 Proche	Orient
      1 Portraits	Les
      1 Ponctuation	_
      1 Points	annonces
      1 Plus	les
      1 Plus	de
      1 Plus	__________________________________________________________________
      1 Plus	Par
      1 Plus	Multimedia
      1 Plus	Editorial
      1 Plus	23
      1 Plus	16
      1 Petites	annonces
      1 Pearson	responsable
      1 Paru	le
      1 Par	cht
      1 Paper	Contacts
      1 Pakistan	âgés
      1 Pabuk	arrive
      1 Orthographe	_
      1 Orient	Proche
      1 Orient	Faits
      1 Océanie	Moyen
      1 Nous	sommes
      1 Nous	refusons
      1 Nos	offres
      1 Norvège	Ils
      1 No	connection
      1 Newsletters	Comparatif
      1 Newsletter	Météo
      1 National	Crime
      1 NCA	pour
      1 NCA	portant
      1 MétéoLausanne	k_19
      1 Météo	Mobile
      1 Météo	Décès
      1 Multimedia	Dossiers
      1 Moyen	Orient
      1 MoneyPark	Abonnements
      1 Monde	Elu
      1 Monde	1
      1 Mon	compte
      1 Mon	comportement
      1 Mobile	Cultes
      1 Mobile	Club
      1 Migrants	premiers
      1 Michelle	Colborne
      1 Meute	sur
      1 Mercredi	9
      1 Merci	pour
      1 Merci	de
      1 Maladie	Europe
      1 Magnitz	a
      1 Leur	peine
      1 Les	webdocs
      1 Les	plus
      1 Les	jeunes
      1 Les	filles
      1 Les	fausses
      1 Les	dernières
      1 Le	ver
      1 Le	gang
      1 Le	chef
      1 La	tempête
      1 La	croissance
      1 La	Meute
      1 L	épouse
      1 L	éditeur
      1 L	une
      1 L	enquête
      1 L	actualité
      1 Justice	Cinq
      1 Jusqu	à
      1 J	ai
      1 Input	not
      1 Info	lecteur
      1 Impressum	CGV
      1 Immobilier	Comparateur
      1 Immo	____________________
      1 Images	Un
      1 Image	Bénédicte
      1 Image	AFP
      1 Ils	réclament
      1 Ils	ont
      1 Ils	faisaient
      1 Il	refuse
      1 Identifier	Créer
      1 IFRAME	recommendation_widget
      1 Hôtels	bien
      1 Grande	BretagneUne
      1 Grande	Bretagne
      1 Grammaire	_
      1 Google	et
      1 Galeries	Videos
      1 Frank	Magnitz
      1 Fermin	Ils
      1 Fermer	SMS
      1 Fermer	S
      1 Fermer	Bons
      1 Femina	Hôtels
      1 Femina	Bilan
      1 Faits	divers
      1 Facebook	publizieren
      1 Facebook	ou
      1 Facebook	facebookAnmelden_fr
      1 Facebook	Abmelden
      1 Europe	Amériques
      1 Espagne	Justice
      1 Erreur	factuelle
      1 Envoyer	Vous
      1 Envoyer	Submit
      1 Envoyer	S
      1 Envoyer	Fermer
      1 En	relation
      1 Emplois	Immobilier
      1 Elu	tabassé
      1 Elles	pensaient
      1 Editorial	Réflexions
      1 E	paper
      1 E	Paper
      1 Décès	Blogs
      1 Déclaration	de
      1 Dossiers	Galeries
      1 Données	médias
      1 Dimanche	Portraits
      1 Dimanche	Femina
      1 Description	de
      1 Des	ravisseurs
      1 Dernière	mise
      1 Cultes	Service
      1 Créé	29
      1 Créer	un
      1 Criminalité	Des
      1 Crime	Agency
      1 Contacts	RSS
      1 Contacts	Publicité
      1 Connecté	avec
      1 Connectez	vous
      1 Confirmer	le
      1 Concours	24Emploi
      1 Comparatif	Club
      1 Comparateur	de
      1 Commentaires	des
      1 Commentaire	envoyé
      1 Commentaire	Submit
      1 Commentaire	No
      1 Commentaire	Connectez
      1 Colborne	Les
      1 Cinéma	Concours
      1 Cinq	hommes
      1 Charte	des
      1 Charte	de
      1 Ces	décisions
      1 Cercle	des
      1 Ceci	s
      1 Caractères	restants
      1 CGV	et
      1 Bénédicte	Plus
      1 Brême	Frank
      1 BretagneUne	bande
      1 Bretagne	Leur
      1 Bolsonaro	annonce
      1 Blogs	Mobile
      1 Bilan	Petites
      1 Belgique	fin
      1 BUTTON	Input
      1 Autriche	Athènes
      1 Auto	Comparis
      1 Au	total
      1 Attentats	du
      1 Attentat	du
      1 Athènes	sous
      1 Assurance	Maladie
      1 Assurance	Auto
      1 Asie	Océanie
      1 Asie	En
      1 Asiatiques	Les
      1 Asiatiques	Image
      1 Articles	en
      1 Archives	articles
      1 Archives	Archives
      1 Annonces	Points
      1 Angleterre	où
      1 Angleterre	Scandale
      1 Angleterre	Plus
      1 Amériques	Afrique
      1 Allemagne	et
      1 Allemagne	Le
      1 Agency	l
      1 Afrique	Asie
      1 AfD	à
      1 Abonnements	Nos
      1 Abmelden	Submit
      1 AFP	29
      1 9	millions
      1 6	Paru
      1 5	spas
      1 5	Un
      1 4	Le
      1 3	Vaud
      1 3	Bolsonaro
      1 2Fstory	2F27328453
      1 2Fmonde	2FUn
      1 2FUn	gang
      1 2F27328453	dom
      1 27328453	story_url
      1 24heures	VQH
      1 24heures	0
      1 24Heures	24heures
      1 24Emploi	Météo
      1 24	Rédaction
      1 24	Bons
      1 23	11
      1 2019	Dernière
      1 2019	5
      1 2018	Un
      1 2018	Articles
      1 2018	19h55
      1 2018	0
      1 2017	IFRAME
      1 2015	a
      1 2014	à
      1 2013	et
      1 2	Surprise
      1 2	3
      1 2	0
      1 19h55	29
      1 1997	et
      1 1980	à
      1 18	ans
      1 17	24Heures
      1 16	03
      1 1547033238	E
      1 14	ans
      1 12	17
      1 11	2017
      1 1	La
      1 03	2018
      1 0	127790
      1 0	0
